id,title,budget,revenue,runtime,pop_actors,vote_average,vote_count,pop_directors,pop_producer
77877,The Lucky One,25000000,99357138,101.0,71.73100000000001,7.1,2966,0.716,1.38
77883,The Possession,14000000,85446075,92.0,53.221999999999994,6.0,1299,3.793,1.757
77908,Trois,200000,1160268,93.0,31.338000000000005,3.7,9,2.56,2.111
77930,Magic Mike,7000000,167221571,110.0,66.66799999999999,6.1,2505,7.037,21.201999999999998
77931,The Smurfs 2,105000000,347434178,105.0,68.39800000000001,5.8,1792,6.206,1.116
602223,The Forever Purge,18000000,76994245,103.0,67.288,7.3,1596,3.258,26.939999999999998
77948,The Cold Light of Day,20000000,16863583,93.0,128.734,5.3,698,3.968,1.984
77949,The Awakening,4798235,209696,107.0,66.054,6.4,1142,1.4,2.04
77951,Walking with Dinosaurs,80000000,126546518,87.0,88.39,6.0,371,1.962,1.5819999999999999
77950,Turbo,135000000,282570682,96.0,150.611,6.2,2599,3.411,1.4
77953,The Campaign,95000000,104907746,85.0,69.169,5.8,1386,4.041,49.628
340102,The New Mutants,67000000,45534613,94.0,98.12,6.3,2533,2.677,14.836
340101,Their Finest,11795877,3603484,117.0,90.892,6.7,324,0.86,3.44
602269,The Little Things,30000000,29844012,128.0,100.066,6.4,1464,9.22,15.275
77987,Only God Forgives,4800000,10337387,90.0,45.732000000000006,5.9,1978,6.38,3.487
209112,Batman v Superman: Dawn of Justice,250000000,873634919,152.0,173.183,5.9,15506,11.76,3.3179999999999996
209182,Zombie Brigade,10,15,92.0,0.0,2.5,7,1.44,0.0
209185,The Grand Seduction,12700000,3430018,112.0,43.687000000000005,6.7,233,1.116,1.342
209189,Life of Crime,12000000,265452,94.0,59.68600000000001,5.7,306,0.757,5.119999999999999
78133,A Home of Our Own,12000000,1703282,104.0,41.688,6.6,54,6.884,1.8199999999999998
78146,Tough Guys Don't Dance,5000000,858250,110.0,33.955,5.0,25,1.324,2.0389999999999997
78149,"An Alan Smithee Film: Burn, Hollywood, Burn",10000000,45779,86.0,96.875,4.2,26,9.282,0.0
78177,Lianna,300000,1530839,113.0,5.928999999999999,6.1,21,1.176,1.213
209262,Parkland,10000000,1412181,94.0,127.446,6.2,292,0.7,69.179
733579,Jahnabi,12000,3500,69.0,1.7999999999999998,0.0,0,0.6,0.0
471474,Batman: Gotham by Gaslight,1000000,3469151,78.0,53.418,6.7,530,7.637,7.637
340402,Almost Christmas,17000000,42487325,111.0,62.027,5.8,302,1.22,6.231
209403,Bad Words,9500000,7800000,89.0,72.63499999999999,6.4,630,18.956,21.376
340487,Certain Women,2000000,1215691,107.0,74.102,5.9,245,1.366,2.206
78353,Lucky Lady,13000000,24441725,118.0,54.476,5.7,9,3.075,1.852
209451,Jersey Boys,40000000,67347013,134.0,36.218,6.8,566,29.786,32.366
78381,Twixt,7000000,1300000,89.0,81.77600000000001,4.9,203,5.384,5.384
78394,Sea Rex 3D: Journey to a Prehistoric World,5000000,4074023,41.0,6.658999999999999,7.2,15,1.2,1.7999999999999998
78406,Steal Big Steal Little,25000000,6278139,113.0,71.289,4.4,17,2.265,4.072
602734,Spiral: From the Book of Saw,20000000,36544468,93.0,90.84099999999998,6.2,1096,2.394,1.428
78461,Beneath the Darkness,7300000,23998,96.0,38.552,4.8,113,2.717,0.98
340666,Nocturnal Animals,22500000,29252978,117.0,118.842,7.5,6281,1.739,2.339
340676,Personal Shopper,6000000,1305195,106.0,42.035999999999994,5.9,988,2.107,0.6
602940,Olivia's Cross,3000,3000,15.0,6.97,10.0,1,0.6,0.6
340837,A Cure for Wellness,40000000,26559557,146.0,56.34600000000001,6.3,3169,5.102,7.882000000000001
78698,Big Miracle,40000000,24719215,107.0,99.476,6.6,383,3.46,0.0
340945,USS Indianapolis: Men of Courage,40000000,2158568,128.0,93.857,5.9,499,5.547,1.841
209901,Nothing Left to Fear,3000000,1675381,100.0,64.11,5.3,144,0.6,0.0
15668,Xanadu,20000000,22471595,96.0,22.731,5.5,177,1.4,1.214
15673,Connie and Carla,20000000,11341016,98.0,52.611999999999995,6.1,67,4.341,50.452
341006,The Belko Experiment,5000000,10166820,89.0,60.539,6.1,1121,1.707,8.895000000000001
209937,Big Jack,869000,915000,85.0,15.270999999999999,6.0,1,5.584,0.6
341013,Atomic Blonde,30000000,100014025,115.0,107.22200000000001,6.4,5275,9.649,42.964999999999996
341012,Popstar: Never Stop Never Stopping,20000000,9496130,86.0,69.349,6.6,988,12.416,50.881
603206,Dream Horse,20000000,6435260,113.0,46.946000000000005,7.3,54,2.481,1.2959999999999998
341174,Fifty Shades Darker,55000000,378827494,118.0,69.94600000000001,6.5,6582,2.666,10.272
79120,Weekend,120000,484592,96.0,13.854999999999999,7.3,423,1.4,0.0
79316,Devil's Due,7000000,36433975,89.0,42.249,4.6,413,5.9110000000000005,2.026
472553,Zoo,4000000,231719,96.0,45.803999999999995,6.8,78,0.6,3.0
210479,Locke,2000000,4635300,85.0,217.711,6.9,2160,6.812,1.2
210577,Gone Girl,61000000,369330363,149.0,102.619,7.9,15375,13.935,28.097
79593,The Tie That Binds,14000000,5830454,99.0,58.331,5.2,16,3.534,3.3489999999999998
79649,Eyes of a Stranger,800000,1118634,84.0,35.103,6.1,38,2.332,0.6
79694,The Apparition,17000000,9627492,82.0,105.43499999999999,4.4,340,0.6,2.187
210837,Street Hero,2500000,700000,102.0,15.073,7.6,4,3.528,0.0
79777,In the Land of Blood and Honey,10000000,303877,127.0,16.214,5.9,127,20.844,23.683999999999997
79783,Camilla,8500000,250993,95.0,51.515,5.6,18,1.532,0.0
210860,Mortdecai,60000000,30418560,106.0,108.869,5.5,2283,6.798,44.309000000000005
473033,Uncut Gems,19000000,50020902,136.0,73.72,7.1,3436,10.526,15.819
210947,Afflicted,318000,121179,85.0,7.116,6.4,425,1.2,1.2
210994,Army Daze,507000,1160000,84.0,4.6,7.0,2,0.6,0.0
79931,Adele: Live at the Royal Albert Hall,1000000,10000000,108.0,7.890999999999999,7.9,74,2.327,0.0
473149,Traffik,4000000,5132274,96.0,71.667,6.2,376,0.6,0.0
79947,Andy Kaufman: The Midnight Special,20,25,55.0,3.52,6.8,3,0.0,0.0
211067,The Sacrament,4000000,9221,99.0,16.508,5.8,317,3.317,15.356999999999998
866428,Islanders in the Creek,4,10000,98.0,1.7999999999999998,0.0,0,0.0,0.0
866430,Islanders in the Creek 2: Lundy's Revenge,7,100,99.0,1.7999999999999998,0.0,0,1.2,0.0
866431,Islanders in the Creek 2: Lundy's Remorse,1,6,99.0,1.7999999999999998,0.0,0,1.2,0.0
80035,The Watch,68000000,68267862,102.0,77.806,5.5,1893,2.4,10.54
80241,Green Fire,1768000,1829000,100.0,22.177999999999997,6.9,17,1.594,0.6
80255,A Farewell to Arms,4100000,20000000,152.0,31.380000000000003,5.7,37,0.6,1.311
80271,LOL,11000000,10500000,97.0,74.712,6.1,2412,0.766,11.708
80274,Ender's Game,110000000,125537191,114.0,126.988,6.6,4826,1.252,17.919999999999998
